source,domain,item,molecule,topology,encoder,prior,prior_weight,horizon,mean_rollout_error,std_rollout_error,n,baseline,baseline_mean_rollout_error,pct_gain_vs_baseline,notes
cycle2_rmd17_multimolecule,rMD17,ethanol,ethanol,,gnn_node,graph,0.100000,2,0.004967,0.001327,3,gnn_node:none,0.009630,48.4236,
cycle2_rmd17_multimolecule,rMD17,ethanol,ethanol,,gnn_node,graph,0.100000,4,0.006138,0.001506,3,gnn_node:none,0.011677,47.4365,
cycle2_rmd17_multimolecule,rMD17,ethanol,ethanol,,gnn_node,graph,0.100000,8,0.007874,0.001643,3,gnn_node:none,0.013521,41.7629,
cycle2_rmd17_multimolecule,rMD17,ethanol,ethanol,,gnn_node,graph,0.100000,16,0.015001,0.000608,3,gnn_node:none,0.023002,34.7836,
cycle2_rmd17_multimolecule,rMD17,ethanol,ethanol,,gnn_node,graph,0.100000,32,0.044914,0.003594,3,gnn_node:none,0.055703,19.3691,
cycle2_rmd17_multimolecule,rMD17,ethanol,ethanol,,gnn_node,none,0.100000,1,0.009742,0.003137,3,,,,
cycle2_rmd17_multimolecule,rMD17,ethanol,ethanol,,gnn_node,none,0.100000,2,0.009630,0.002098,3,,,,
cycle2_rmd17_multimolecule,rMD17,ethanol,ethanol,,gnn_node,none,0.100000,4,0.011677,0.002897,3,,,,
cycle2_rmd17_multimolecule,rMD17,ethanol,ethanol,,gnn_node,none,0.100000,8,0.013521,0.002368,3,,,,
cycle2_rmd17_multimolecule,rMD17,ethanol,ethanol,,gnn_node,none,0.100000,16,0.023002,0.003840,3,,,,
cycle2_rmd17_multimolecule,rMD17,ethanol,ethanol,,gnn_node,none,0.100000,32,0.055703,0.016320,3,,,,
cycle2_rmd17_multimolecule,rMD17,ethanol,ethanol,,gnn_node,permuted_graph,0.100000,1,0.004431,0.001501,3,gnn_node:none,0.009742,54.5157,
cycle2_rmd17_multimolecule,rMD17,ethanol,ethanol,,gnn_node,permuted_graph,0.100000,2,0.004852,0.001417,3,gnn_node:none,0.009630,49.6220,
cycle2_rmd17_multimolecule,rMD17,ethanol,ethanol,,gnn_node,permuted_graph,0.100000,4,0.005821,0.001761,3,gnn_node:none,0.011677,50.1509,
cycle2_rmd17_multimolecule,rMD17,ethanol,ethanol,,gnn_node,permuted_graph,0.100000,8,0.007340,0.002082,3,gnn_node:none,0.013521,45.7168,
cycle2_rmd17_multimolecule,rMD17,ethanol,ethanol,,gnn_node,permuted_graph,0.100000,16,0.013443,0.002233,3,gnn_node:none,0.023002,41.5577,
cycle2_rmd17_multimolecule,rMD17,ethanol,ethanol,,gnn_node,permuted_graph,0.100000,32,0.038790,0.008142,3,gnn_node:none,0.055703,30.3623,
cycle2_rmd17_multimolecule,rMD17,ethanol,ethanol,,gnn_node,random_graph,0.100000,1,0.004568,0.001344,3,gnn_node:none,0.009742,53.1072,
cycle2_rmd17_multimolecule,rMD17,ethanol,ethanol,,gnn_node,random_graph,0.100000,2,0.004959,0.001210,3,gnn_node:none,0.009630,48.5019,
cycle2_rmd17_multimolecule,rMD17,ethanol,ethanol,,gnn_node,random_graph,0.100000,4,0.005969,0.001414,3,gnn_node:none,0.011677,48.8789,
cycle2_rmd17_multimolecule,rMD17,ethanol,ethanol,,gnn_node,random_graph,0.100000,8,0.007634,0.001431,3,gnn_node:none,0.013521,43.5409,
cycle2_rmd17_multimolecule,rMD17,ethanol,ethanol,,gnn_node,random_graph,0.100000,16,0.014066,0.000473,3,gnn_node:none,0.023002,38.8472,
cycle2_rmd17_multimolecule,rMD17,ethanol,ethanol,,gnn_node,random_graph,0.100000,32,0.040031,0.004042,3,gnn_node:none,0.055703,28.1355,
cycle2_rmd17_multimolecule,rMD17,ethanol,ethanol,,mlp_global,none,0.100000,1,0.018917,0.002726,3,,,,
cycle2_rmd17_multimolecule,rMD17,ethanol,ethanol,,mlp_global,none,0.100000,2,0.020254,0.004285,3,,,,
cycle2_rmd17_multimolecule,rMD17,ethanol,ethanol,,mlp_global,none,0.100000,4,0.021360,0.003848,3,,,,
cycle2_rmd17_multimolecule,rMD17,ethanol,ethanol,,mlp_global,none,0.100000,8,0.027005,0.006639,3,,,,
cycle2_rmd17_multimolecule,rMD17,ethanol,ethanol,,mlp_global,none,0.100000,16,0.046383,0.014497,3,,,,
cycle2_rmd17_multimolecule,rMD17,ethanol,ethanol,,mlp_global,none,0.100000,32,0.113298,0.044693,3,,,,
cycle2_rmd17_multimolecule,rMD17,malonaldehyde,malonaldehyde,,gnn_node,graph,0.100000,1,0.005453,0.001382,3,gnn_node:none,0.012920,57.7948,
cycle2_rmd17_multimolecule,rMD17,malonaldehyde,malonaldehyde,,gnn_node,graph,0.100000,2,0.005617,0.000844,3,gnn_node:none,0.012531,55.1712,
cycle2_rmd17_multimolecule,rMD17,malonaldehyde,malonaldehyde,,gnn_node,graph,0.100000,4,0.006432,0.001142,3,gnn_node:none,0.015381,58.1806,
cycle2_rmd17_multimolecule,rMD17,malonaldehyde,malonaldehyde,,gnn_node,graph,0.100000,8,0.008138,0.000680,3,gnn_node:none,0.017054,52.2816,
cycle2_rmd17_multimolecule,rMD17,malonaldehyde,malonaldehyde,,gnn_node,graph,0.100000,16,0.012962,0.002676,3,gnn_node:none,0.027569,52.9826,
cycle2_rmd17_multimolecule,rMD17,malonaldehyde,malonaldehyde,,gnn_node,graph,0.100000,32,0.034568,0.014847,3,gnn_node:none,0.068563,49.5828,
cycle2_rmd17_multimolecule,rMD17,malonaldehyde,malonaldehyde,,gnn_node,none,0.100000,1,0.012920,0.002923,3,,,,
cycle2_rmd17_multimolecule,rMD17,malonaldehyde,malonaldehyde,,gnn_node,none,0.100000,2,0.012531,0.002577,3,,,,
cycle2_rmd17_multimolecule,rMD17,malonaldehyde,malonaldehyde,,gnn_node,none,0.100000,4,0.015381,0.004378,3,,,,
cycle2_rmd17_multimolecule,rMD17,malonaldehyde,malonaldehyde,,gnn_node,none,0.100000,8,0.017054,0.005634,3,,,,
cycle2_rmd17_multimolecule,rMD17,malonaldehyde,malonaldehyde,,gnn_node,none,0.100000,16,0.027569,0.007543,3,,,,
cycle2_rmd17_multimolecule,rMD17,malonaldehyde,malonaldehyde,,gnn_node,none,0.100000,32,0.068563,0.018939,3,,,,
cycle2_rmd17_multimolecule,rMD17,malonaldehyde,malonaldehyde,,gnn_node,permuted_graph,0.100000,1,0.005332,0.001242,3,gnn_node:none,0.012920,58.7304,
cycle2_rmd17_multimolecule,rMD17,malonaldehyde,malonaldehyde,,gnn_node,permuted_graph,0.100000,2,0.005643,0.000725,3,gnn_node:none,0.012531,54.9678,
cycle2_rmd17_multimolecule,rMD17,malonaldehyde,malonaldehyde,,gnn_node,permuted_graph,0.100000,4,0.006260,0.001031,3,gnn_node:none,0.015381,59.3016,
cycle2_rmd17_multimolecule,rMD17,malonaldehyde,malonaldehyde,,gnn_node,permuted_graph,0.100000,8,0.008042,0.000887,3,gnn_node:none,0.017054,52.8462,
cycle2_rmd17_multimolecule,rMD17,malonaldehyde,malonaldehyde,,gnn_node,permuted_graph,0.100000,16,0.012397,0.002030,3,gnn_node:none,0.027569,55.0322,
cycle2_rmd17_multimolecule,rMD17,malonaldehyde,malonaldehyde,,gnn_node,permuted_graph,0.100000,32,0.030810,0.008209,3,gnn_node:none,0.068563,55.0641,
cycle2_rmd17_multimolecule,rMD17,malonaldehyde,malonaldehyde,,gnn_node,random_graph,0.100000,1,0.005364,0.001234,3,gnn_node:none,0.012920,58.4800,
cycle2_rmd17_multimolecule,rMD17,malonaldehyde,malonaldehyde,,gnn_node,random_graph,0.100000,2,0.005663,0.000706,3,gnn_node:none,0.012531,54.8066,
cycle2_rmd17_multimolecule,rMD17,malonaldehyde,malonaldehyde,,gnn_node,random_graph,0.100000,4,0.006269,0.000987,3,gnn_node:none,0.015381,59.2412,
cycle2_rmd17_multimolecule,rMD17,malonaldehyde,malonaldehyde,,gnn_node,random_graph,0.100000,8,0.008056,0.000844,3,gnn_node:none,0.017054,52.7618,
cycle2_rmd17_multimolecule,rMD17,malonaldehyde,malonaldehyde,,gnn_node,random_graph,0.100000,16,0.012414,0.002058,3,gnn_node:none,0.027569,54.9693,
cycle2_rmd17_multimolecule,rMD17,malonaldehyde,malonaldehyde,,gnn_node,random_graph,0.100000,32,0.030485,0.009122,3,gnn_node:none,0.068563,55.5378,
cycle2_rmd17_multimolecule,rMD17,malonaldehyde,malonaldehyde,,mlp_global,none,0.100000,1,0.023819,0.003018,3,,,,
cycle2_rmd17_multimolecule,rMD17,malonaldehyde,malonaldehyde,,mlp_global,none,0.100000,2,0.022916,0.003259,3,,,,
cycle2_rmd17_multimolecule,rMD17,malonaldehyde,malonaldehyde,,mlp_global,none,0.100000,4,0.025173,0.003047,3,,,,
cycle2_rmd17_multimolecule,rMD17,malonaldehyde,malonaldehyde,,mlp_global,none,0.100000,8,0.031659,0.004737,3,,,,
cycle2_rmd17_multimolecule,rMD17,malonaldehyde,malonaldehyde,,mlp_global,none,0.100000,16,0.052034,0.012275,3,,,,
